Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
82807,31/01/2016,0,0,0.354786,2.05776,,7.0833330000000005,,271.8,32.358621,23.97931,88.922414,-8.16,-70.76,Amazônia,15553430000.0
82807,29/02/2016,0,0,0.43756999999999996,2.05776,,7.573529,,310.0,32.234483000000004,23.76551700000001,88.836207,-8.16,-70.76,Amazônia,15553430000.0
82807,31/03/2016,0,0,0.564225,2.05776,,8.241758,,280.4,32.180645,23.722580999999998,86.548387,-8.16,-70.76,Amazônia,15553430000.0
82807,30/04/2016,0,0,0.548736,2.05776,,7.194767,,134.0,32.893333,23.17,84.158333,-8.16,-70.76,Amazônia,15553430000.0
82807,31/05/2016,0,0,0.637458,2.05776,,6.28012,,97.2,31.419355,22.070968,86.322581,-8.16,-70.76,Amazônia,15553430000.0
82807,30/06/2016,0,0,0.68592,3.08664,,4.83631,,76.0,31.433333,20.44,83.241667,-8.16,-70.76,Amazônia,15553430000.0
82807,31/07/2016,0,0,0.531035,2.05776,,3.721591000000001,,29.2,33.419354999999996,20.345160999999997,79.266129,-8.16,-70.76,Amazônia,15553430000.0
82807,31/08/2016,0,0,0.542098,2.05776,,4.034091,,88.2,34.025806,20.958064999999998,78.024194,-8.16,-70.76,Amazônia,15553430000.0
82807,30/09/2016,0,0,0.45903900000000003,3.08664,,5.699153,,47.3,33.263333,21.443333,84.466667,-8.16,-70.76,Amazônia,15553430000.0
82807,31/10/2016,0,0,0.30544899999999997,2.05776,,6.310484,,346.0,32.806452,23.212903,85.137097,-8.16,-70.76,Amazônia,15553430000.0
82807,30/11/2016,0,0,0.607975,2.05776,,6.6666669999999995,,193.9,32.273333,23.410345,81.925,-8.16,-70.76,Amazônia,15553430000.0
82807,31/12/2016,0,0,0.594464,2.05776,,7.569444,,322.6,31.293333,23.065517,84.19166700000002,-8.16,-70.76,Amazônia,15553430000.0
82807,31/01/2017,0,0,0.483871,2.0,,8.894022,,483.2,30.367742,22.858065,86.733871,-8.16,-70.76,Amazônia,15553430000.0
82807,28/02/2017,0,0,0.508242,2.05776,,8.262195,,190.2,31.192857,22.778571,85.42857099999998,-8.16,-70.76,Amazônia,15553430000.0
82807,31/03/2017,0,0,0.47571899999999995,2.05776,,8.708333,,330.9,31.329032,23.038710000000002,85.814516,-8.16,-70.76,Amazônia,15553430000.0
82807,30/04/2017,0,0,0.589583,2.05776,,7.411764999999999,,177.3,31.373333000000002,22.883333,85.541667,-8.16,-70.76,Amazônia,15553430000.0
82807,31/05/2017,0,0,0.474868,2.05776,,7.0292210000000015,,118.0,32.103226,23.033333,85.83064499999998,-8.16,-70.76,Amazônia,15553430000.0
82807,30/06/2017,0,0,0.543341,2.05776,,4.506173,,37.4,31.313333,20.47,83.05,-8.16,-70.76,Amazônia,15553430000.0
82807,31/07/2017,0,0,0.43576099999999995,3.08664,,2.307692,,10.1,32.862069,18.496551999999998,76.12069,-8.16,-70.76,Amazônia,15553430000.0
82807,31/08/2017,0,0,0.5759489999999999,3.6010800000000005,,5.384615,,30.0,34.406667,21.63871,75.741667,-8.16,-70.76,Amazônia,15553430000.0
82807,30/09/2017,0,0,0.17438599999999999,1.02888,,6.7708330000000005,,156.2,33.428571000000005,22.453332999999997,84.23214300000002,-8.16,-70.76,Amazônia,15553430000.0
82807,31/10/2017,0,0,0.313896,2.05776,,5.969828,,121.4,33.746666999999995,22.92069,85.333333,-8.16,-70.76,Amazônia,15553430000.0
82807,30/11/2017,0,0,0.607975,2.05776,,8.146552,,344.4,31.958621,23.175862,84.586207,-8.16,-70.76,Amazônia,15553430000.0
82807,31/12/2017,0,0,0.605896,3.08664,,7.625,,466.6,32.08,23.143333,83.8,-8.16,-70.76,Amazônia,15553430000.0
82807,31/01/2018,0,0,0.554012,2.05776,,7.542135000000001,,255.4,31.412903000000004,22.962069,83.887097,-8.16,-70.76,Amazônia,15553430000.0
82807,28/02/2018,0,0,0.421469,2.05776,,8.544303999999999,,242.4,30.792857,23.2,85.16964300000002,-8.16,-70.76,Amazônia,15553430000.0
82807,31/03/2018,0,0,0.520093,2.05776,,7.790698,,361.0,31.546667,22.85,83.033333,-8.16,-70.76,Amazônia,15553430000.0
82807,30/04/2018,0,0,0.60018,2.5722,,8.117647,,193.7,31.32,22.916667,85.158333,-8.16,-70.76,Amazônia,15553430000.0
82807,31/05/2018,0,0,0.44733900000000004,2.05776,,6.460843,,91.8,31.051613,22.096774,84.16935500000002,-8.16,-70.76,Amazônia,15553430000.0
82807,30/06/2018,0,0,0.682067,4.11552,,6.203704,,49.0,30.113792999999998,19.273332999999997,80.215517,-8.16,-70.76,Amazônia,15553430000.0
82807,31/07/2018,0,0,0.486174,2.05776,,4.0261629999999995,,23.4,32.565517,19.529032,77.310345,-8.16,-70.76,Amazônia,15553430000.0
82807,31/08/2018,0,0,0.5716,2.05776,,5.359195,,115.0,32.186207,20.093548000000002,78.206897,-8.16,-70.76,Amazônia,15553430000.0
82807,30/09/2018,0,0,0.373384,3.08664,,5.5392160000000015,,45.6,34.343333,21.706667000000003,79.908333,-8.16,-70.76,Amazônia,15553430000.0
82807,31/10/2018,0,0,0.348492,2.05776,,7.459016,,271.8,32.93871,23.538710000000002,88.096774,-8.16,-70.76,Amazônia,15553430000.0
82807,30/11/2018,0,0,0.566462,2.05776,,7.921347999999999,,331.9,31.606666999999998,23.793332999999997,85.68333299999998,-8.16,-70.76,Amazônia,15553430000.0
82807,31/12/2018,0,0,0.548736,2.05776,,8.489011,,301.7,30.587096999999996,23.048276,86.66129000000002,-8.16,-70.76,Amazônia,15553430000.0
82807,31/01/2019,0,0,0.613214,2.0,,8.903226,,395.4,30.909677000000002,23.187097,85.467742,-8.16,-70.76,Amazônia,15553430000.0
82807,28/02/2019,0,0,0.44047600000000003,2.0,,8.654762,,324.2,31.339285999999998,23.357143,86.0625,-8.16,-70.76,Amazônia,15553430000.0
82807,31/03/2019,0,0,0.580645,2.0,,8.569892,,421.0,31.574194,23.36129,85.814516,-8.16,-70.76,Amazônia,15553430000.0
82807,30/04/2019,0,0,0.577778,2.0,,7.855556,,127.2,32.046667,23.333333,83.216667,-8.16,-70.76,Amazônia,15553430000.0
82807,31/05/2019,0,0,0.548387,2.0,,6.7419350000000025,,95.4,31.896774,22.106451999999997,82.790323,-8.16,-70.76,Amazônia,15553430000.0
82807,30/06/2019,0,0,0.44444399999999995,2.0,,6.055556,,105.8,31.926667,21.986667,84.083333,-8.16,-70.76,Amazônia,15553430000.0
82807,31/07/2019,0,0,0.593585,3.08664,,4.623288,,31.6,31.84,20.180769,81.895161,-8.16,-70.76,Amazônia,15553430000.0
82807,31/08/2019,0,0,0.704559,5.1444,,4.201807,,105.0,33.353333,19.59,75.532258,-8.16,-70.76,Amazônia,15553430000.0
82807,30/09/2019,0,0,0.22292399999999998,2.05776,,6.513158,,109.8,34.186667,22.906897,85.033333,-8.16,-70.76,Amazônia,15553430000.0
