Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83442,31/01/2016,0,0,0.569892,2.0,,7.451613,,332.5,32.512903,21.754839,74.41129000000001,"-16.83
","-42.05
"
83442,29/02/2016,0,0,0.367816,1.0,,3.068966,,15.7,35.958621,20.9,62.0,"-16.83
","-42.05
"
83442,31/03/2016,0,0,0.47311800000000004,2.0,,4.344086,,2.8,36.387097,22.041935000000002,55.217742,"-16.83
","-42.05
"
83442,30/04/2016,0,0,0.466667,2.0,,4.155556,,0.3,35.383333,20.716667,51.95,"-16.83
","-42.05
"
83442,31/05/2016,0,0,0.430108,3.0,,4.11828,,1.4,32.525806,18.106451999999997,54.975806000000006,"-16.83
","-42.05
"
83442,30/06/2016,0,0,0.355556,3.0,,4.277778,,15.3,30.383333,15.936667000000002,60.291667000000004,"-16.83
","-42.05
"
83442,31/07/2016,0,0,0.554348,3.0,,3.4456519999999995,,0.5,30.287096999999996,15.793548000000001,56.475,"-16.83
","-42.05
"
83442,31/08/2016,0,0,0.645161,3.0,,4.053763,,5.8,32.074194,18.254839,53.7,"-16.83
","-42.05
"
83442,30/09/2016,0,0,0.677778,2.0,,3.9444440000000003,,17.0,34.613333000000004,20.44,47.608333,"-16.83
","-42.05
"
83442,31/10/2016,0,5,0.935484,2.0,,4.752688,,12.9,34.774194,21.883871,53.314516000000005,"-16.83
","-42.05
"
83442,30/11/2016,0,0,0.655556,2.0,,6.588889,,129.6,32.93,21.146667,65.033333,"-16.83
","-42.05
"
83442,31/12/2016,0,0,0.677419,3.0,,6.319891999999999,,110.9,33.148387,20.854839000000002,70.991935,"-16.83
","-42.05
"
83442,31/01/2017,0,0,0.5486979999999999,2.0,,3.981183,,74.8,35.441935,21.467742,56.524193999999994,"-16.83
","-42.05
"
83442,28/02/2017,0,0,0.44047600000000003,4.0,,6.547619,,112.4,33.382143,21.489286,70.25892900000001,"-16.83
","-42.05
"
83442,31/03/2017,0,0,0.548387,2.0,,4.516129,,94.4,35.248387,21.345160999999997,58.024193999999994,"-16.83
","-42.05
"
83442,30/04/2017,0,0,0.45,3.5,,4.133333,,2.6,32.616667,20.386667000000003,63.183333,"-16.83
","-42.05
"
83442,31/05/2017,0,0,0.44086000000000003,2.0,,5.655914,,5.8,30.883871000000003,19.032258,62.42741899999999,"-16.83
","-42.05
"
83442,30/06/2017,0,0,0.533333,3.0,,3.766667,,0.2,30.313333,17.543332999999997,60.38333299999999,"-16.83
","-42.05
"
83442,31/07/2017,0,0,0.72043,2.0,,6.526882,,4.8,27.422581,15.303226,60.419355,"-16.83
","-42.05
"
83442,31/08/2017,0,0,0.580645,2.0,,3.247312,,0.0,30.606452,15.358065,52.443548,"-16.83
","-42.05
"
83442,30/09/2017,0,0,0.8888889999999999,2.0,,4.9,,2.6,31.77,18.66,49.558333000000005,"-16.83
","-42.05
"
83442,31/10/2017,0,5,0.9784950000000001,2.0,,3.698925,,3.7,35.932258000000004,21.812903,44.798387,"-16.83
","-42.05
"
