Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83076,31/01/2016,0,,,,157.3,8.252688000000001,,827.7,31.648387,19.680645000000002,81.596774,"-11.01
","-44.51
"
83076,29/02/2016,0,,,,282.1,4.9568970000000006,,33.8,33.582143,18.355172,60.431034,"-11.01
","-44.51
"
83076,31/03/2016,0,,,,289.0,4.821429,,31.5,34.44,19.632258,58.033333,"-11.01
","-44.51
"
83076,30/04/2016,0,,,,277.7,5.0833330000000005,,0.3,34.646667,17.806667,52.525,"-11.01
","-44.51
"
83076,31/05/2016,0,,,,296.3,4.538043,,0.0,34.6,15.848386999999999,52.564516000000005,"-11.01
","-44.51
"
83076,30/06/2016,0,,,,299.5,4.388889,,0.0,33.863333000000004,14.86,53.983332999999995,"-11.01
","-44.51
"
83076,31/07/2016,0,,,,322.0,3.8172040000000003,,0.0,33.064516,12.358065,50.419354999999996,"-11.01
","-44.51
"
83076,31/08/2016,0,,,,313.8,3.8037629999999996,,0.0,34.883871,14.829032000000002,45.306452,"-11.01
","-44.51
"
83076,30/09/2016,0,,,,257.5,4.361111,,17.4,35.416667,17.263333,48.633333,"-11.01
","-44.51
"
83076,31/10/2016,0,,,,281.5,5.5241940000000005,,28.9,36.216128999999995,19.074194,46.814516,"-11.01
","-44.51
"
83076,30/11/2016,0,,,,227.8,6.3333330000000005,,132.2,34.483333,19.17,56.916667000000004,"-11.01
","-44.51
"
83076,31/12/2016,0,,,,263.0,5.964674,,179.5,33.516129,18.212903,61.258065,"-11.01
","-44.51
"
83076,31/01/2017,0,,,,263.5,6.387097,,199.4,34.012903,18.454839,64.870968,"-11.01
","-44.51
"
83076,28/02/2017,0,,,,162.1,8.023810000000001,,261.5,31.196429,18.35,77.9375,"-11.01
","-44.51
"
83076,31/03/2017,0,,,,221.7,6.946236999999999,,139.3,32.119355,18.4,72.935484,"-11.01
","-44.51
"
83076,30/04/2017,0,,,,260.1,6.133333,,41.1,32.79,18.22,64.333333,"-11.01
","-44.51
"
83076,31/05/2017,0,,,,281.3,5.065217,,1.1,34.167742,16.241935,55.451613,"-11.01
","-44.51
"
83076,30/06/2017,0,,,,291.7,2.677778,,0.4,33.586667,13.473332999999998,52.99166700000001,"-11.01
","-44.51
"
83076,31/07/2017,0,,,,313.9,2.344086,,0.0,31.306452,11.696774000000001,51.693548,"-11.01
","-44.51
"
83076,31/08/2017,0,,,,322.5,2.195652,,0.0,34.603226,13.626667000000001,48.645161,"-11.01
","-44.51
"
83076,30/09/2017,0,,,,309.1,3.416667,,0.0,34.32,16.356667,47.4,"-11.01
","-44.51
"
83076,31/10/2017,0,,,,315.2,3.8037629999999996,,0.0,37.806452,18.325806,42.806452,"-11.01
","-44.51
"
83076,30/11/2017,0,,,,197.2,7.375,,69.7,34.17,18.746667000000002,56.725,"-11.01
","-44.51
"
83076,31/12/2017,0,,,,213.2,6.908602,,163.7,33.190323,18.112903,62.717742,"-11.01
","-44.51
"
83076,31/01/2018,0,,,,251.9,6.747312,,45.9,34.058065,17.887097,59.129031999999995,"-11.01
","-44.51
"
83076,28/02/2018,0,,,,165.4,7.901786,,189.1,30.775,17.546429,73.5625,"-11.01
","-44.51
"
83076,31/03/2018,0,,,,212.5,7.258064999999999,,126.7,31.248387,17.687097,73.814516,"-11.01
","-44.51
"
83076,30/04/2018,0,,,,258.4,5.472222,,68.2,31.306666999999997,16.87,65.225,"-11.01
","-44.51
"
83076,31/05/2018,0,,,,301.0,4.784946,,0.7,33.270967999999996,15.209677,53.217742,"-11.01
","-44.51
"
83076,30/06/2018,0,,,,299.2,4.25,,1.0,32.796667,12.013333,51.475,"-11.01
","-44.51
"
83076,31/07/2018,0,,,,320.8,2.80914,,0.0,32.977419,11.045161,47.612903,"-11.01
","-44.51
"
83076,31/08/2018,0,,,,304.8,4.395161,,14.4,35.058065,13.970968,42.814516,"-11.01
","-44.51
"
83076,30/09/2018,0,,,,293.7,4.4583330000000005,,0.0,36.92,16.42,39.025,"-11.01
","-44.51
"
83076,31/10/2018,0,,,,276.2,5.900538,,84.9,36.703226,18.396774,48.016129,"-11.01
","-44.51
"
83076,30/11/2018,0,,,,216.8,7.013889,,138.9,33.62,18.013333,58.766667000000005,"-11.01
","-44.51
"
83076,31/12/2018,0,,,,211.7,7.513441,,187.1,31.864516,17.174194,68.548387,"-11.01
","-44.51
"
83076,31/01/2019,0,,,,257.6,5.793011,,42.2,35.074194,17.164516,51.580645000000004,"-11.01
","-44.51
"
83076,28/02/2019,0,,,,190.3,7.46988,,179.3,33.033333,17.407142999999998,69.12963,"-11.01
","-44.51
"
83076,31/03/2019,0,,,,255.0,6.895161,,184.0,32.429032,17.654839000000003,71.983871,"-11.01
","-44.51
"
83076,30/04/2019,0,,,,232.1,6.486111,,61.9,32.77,17.376667,66.116667,"-11.01
","-44.51
"
83076,31/05/2019,0,,,,,5.529891,,46.4,33.587097,16.319354999999998,62.153226000000004,"-11.01
","-44.51
"
83076,30/06/2019,0,,,,,4.402778,,0.0,33.036667,12.853333000000001,52.2,"-11.01
","-44.51
"
83076,31/07/2019,0,,,,,4.139785,,0.0,33.848387,11.951613,51.975806,"-11.01
","-44.51
"
83076,31/08/2019,0,,,,,3.91129,,0.0,34.567741999999996,12.516129,47.5,"-11.01
","-44.51
"
83076,30/09/2019,0,,,,,3.791667,,0.0,37.126667,14.98,42.533333,"-11.01
","-44.51
"
